# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Graph 	 Probability 	 Different initial 	 Similar Initial
1	0.1	67.1401	47.4351
1	0.2	56.1197	47.457
1	0.3	74.3359	41.4537
1	0.4	62.4463	56.6369
1	0.5	67.2511	51.6604
2	0.1	53.651	44.5511
2	0.2	60.5372	40.826
2	0.3	76.3617	56.5107
2	0.4	56.7208	49.4665
2	0.5	65.2646	46.9733
3	0.1	55.0892	42.0655
3	0.2	71.9651	62.4157
3	0.3	54.3365	52.624
3	0.4	64.3475	53.9455
3	0.5	61.7559	51.1067
4	0.1	69.4767	55.4912
4	0.2	63.5301	60.7859
4	0.3	60.5338	44.439
4	0.4	59.2601	52.6994
4	0.5	68.847	49.3187
5	0.1	64.6426	49.4527
5	0.2	63.767	49.0044
5	0.3	61.5464	52.6291
5	0.4	59.8854	47.0129
5	0.5	68.6561	59.0107
6	0.1	72.1144	51.5443
6	0.2	57.422	46.6699
6	0.3	68.7502	33.196
6	0.4	68.8756	52.4562
6	0.5	65.9599	44.2425
7	0.1	72.3544	61.6871
7	0.2	58.9256	50.7625
7	0.3	65.3051	56.3262
7	0.4	66.8673	41.9709
7	0.5	66.519	47.2465
8	0.1	53.2166	51.0363
8	0.2	67.5032	54.7628
8	0.3	58.1566	45.7789
8	0.4	78.6402	53.1408
8	0.5	65.7394	65.0718
9	0.1	54.8105	48.6782
9	0.2	68.677	43.7373
9	0.3	61.9	41.9346
9	0.4	63.2602	50.7582
9	0.5	53.0856	47.93
10	0.1	63.7398	58.5742
10	0.2	70.3194	53.7884
10	0.3	61.8854	42.0297
10	0.4	54.3527	43.3348
10	0.5	60.0808	60.5468
11	0.1	52.7815	55.5866
11	0.2	51.3413	56.2948
11	0.3	61.7926	35.9813
11	0.4	48.9919	59.6429
11	0.5	65.9605	51.8713
12	0.1	63.8573	54.306
12	0.2	55.6888	48.2451
12	0.3	74.3158	57.2343
12	0.4	65.3846	52.7041
12	0.5	65.6089	41.8476
13	0.1	61.5409	43.1725
13	0.2	58.0678	44.3553
13	0.3	72.6073	46.6873
13	0.4	72.4692	56.9666
13	0.5	61.5845	51.3861
14	0.1	74.7273	67.3697
14	0.2	65.0675	53.9917
14	0.3	66.0501	45.404
14	0.4	51.7817	57.3734
14	0.5	51.2474	52.8459
15	0.1	69.6215	46.0202
15	0.2	60.6907	39.1714
15	0.3	56.5625	50.6695
15	0.4	55.9286	43.9344
15	0.5	60.0147	41.8965
16	0.1	77.5054	54.0295
16	0.2	56.3161	59.4536
16	0.3	66.5023	47.5707
16	0.4	69.2312	50.7575
16	0.5	65.4127	46.9936
17	0.1	67.5613	47.6454
17	0.2	60.4676	45.8059
17	0.3	55.52	43.5308
17	0.4	63.2691	50.6031
17	0.5	59.6445	55.3581
18	0.1	53.7391	51.2043
18	0.2	67.2077	41.1123
18	0.3	64.3801	49.8676
18	0.4	55.9604	45.4943
18	0.5	54.1647	43.1109
19	0.1	63.8849	49.06
19	0.2	61.2787	44.8846
19	0.3	75.7539	45.4947
19	0.4	62.2161	49.7925
19	0.5	70.7024	43.8363
20	0.1	59.1671	48.6787
20	0.2	59.4992	55.0126
20	0.3	59.8446	42.3335
20	0.4	56.0488	53.6988
20	0.5	71.0997	59.0253
21	0.1	75.4349	58.698
21	0.2	60.7842	50.7698
21	0.3	63.6726	57.3525
21	0.4	61.4226	51.7073
21	0.5	60.0756	47.4929
22	0.1	61.9265	54.8658
22	0.2	74.6654	59.4144
22	0.3	72.7355	44.2316
22	0.4	49.09	42.8877
22	0.5	63.3296	40.4442
23	0.1	67.9517	52.537
23	0.2	54.304	54.47
23	0.3	61.1957	39.4339
23	0.4	57.7669	54.4062
23	0.5	77.745	49.9072
24	0.1	77.9509	54.1667
24	0.2	60.5742	53.8004
24	0.3	51.2796	43.4842
