# Number of nodes: 100
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
1	1	62.86	42.27
1	2	62.97	45.29
1	3	57.55	43.05
1	4	53.52	55.84
1	5	71.41	52.66
1	6	56.68	56.45
2	1	53.76	40.6
2	2	61.75	56.43
2	3	68.15	50.5
2	4	65.69	47.69
2	5	55.16	51.96
2	6	64.37	56.52
3	1	51.82	37.35
3	2	62.39	55.5
3	3	62.0	42.82
3	4	62.66	51.73
3	5	72.84	53.54
3	6	64.56	48.29
4	1	45.58	44.37
4	2	73.67	50.09
4	3	64.03	50.95
4	4	61.03	39.05
4	5	60.88	41.94
4	6	55.9	43.12
5	1	53.62	51.0
5	2	66.53	55.0
5	3	59.67	42.56
5	4	54.95	40.62
5	5	66.93	61.85
5	6	71.7	63.85
6	1	49.6	41.74
6	2	69.05	48.08
6	3	54.77	43.58
6	4	74.69	52.34
6	5	71.08	57.27
6	6	74.14	45.7
7	1	53.38	47.93
7	2	63.25	46.41
7	3	59.41	50.13
7	4	59.23	57.31
7	5	59.09	52.62
7	6	58.37	55.92
8	1	57.93	43.85
8	2	60.16	37.82
8	3	64.38	51.28
8	4	55.96	49.03
8	5	55.3	44.04
8	6	61.39	34.23
9	1	55.84	41.0
9	2	59.28	43.25
9	3	65.64	49.86
9	4	64.12	43.05
9	5	58.83	52.1
9	6	58.37	51.03
10	1	51.7	43.01
10	2	54.42	46.18
10	3	61.84	51.17
10	4	72.49	57.32
10	5	54.14	47.69
10	6	73.05	38.39
11	1	56.04	33.96
11	2	60.61	47.29
11	3	57.7	53.62
11	4	62.87	64.68
11	5	60.55	49.74
11	6	69.76	48.93
12	1	63.2	42.45
12	2	68.45	42.54
12	3	57.45	44.76
12	4	51.52	48.2
12	5	57.74	51.93
12	6	69.97	42.31
13	1	64.09	52.53
13	2	57.08	57.3
13	3	64.92	33.45
13	4	60.61	56.47
13	5	55.07	53.06
13	6	68.45	45.86
14	1	51.8	48.6
14	2	68.37	51.18
14	3	76.42	43.7
14	4	61.62	42.86
14	5	67.53	45.09
14	6	59.74	40.79
15	1	61.92	48.88
15	2	65.09	59.66
15	3	70.11	51.94
15	4	72.72	54.79
15	5	71.73	55.04
15	6	63.82	47.09
16	1	56.53	43.71
16	2	65.73	57.63
16	3	54.74	50.0
16	4	74.27	45.77
16	5	68.5	46.69
16	6	59.97	43.92
17	1	56.56	48.42
17	2	62.65	51.32
17	3	49.79	49.98
17	4	56.83	44.05
17	5	61.49	51.49
17	6	73.28	52.43
18	1	49.52	45.59
18	2	59.1	52.23
18	3	66.71	51.62
18	4	59.27	57.98
18	5	51.96	42.45
18	6	73.06	51.22
19	1	64.91	54.65
19	2	68.3	59.0
19	3	55.83	58.17
19	4	56.58	44.26
19	5	63.99	57.83
19	6	54.53	51.24
20	1	55.79	42.92
20	2	63.2	61.82
20	3	65.57	46.34
20	4	45.53	43.15
20	5	67.45	57.58
20	6	66.66	59.74
21	1	54.98	42.19
21	2	65.91	47.86
21	3	65.71	47.49
21	4	62.97	54.19
21	5	60.0	50.49
21	6	66.93	52.79
22	1	55.88	43.15
22	2	73.2	53.83
22	3	60.88	48.03
22	4	55.41	49.86
22	5	65.37	42.28
22	6	66.0	46.49
23	1	56.95	46.82
23	2	66.64	43.79
23	3	65.17	63.27
23	4	60.01	54.05
23	5	60.88	48.03
23	6	65.8	50.08
24	1	62.32	46.17
24	2	55.76	56.35
24	3	60.9	48.82
24	4	49.11	54.81
24	5	58.34	52.96
24	6	59.04	40.77
25	1	50.42	38.59
25	2	56.88	44.73
25	3	53.87	51.42
25	4	56.91	45.46
25	5	67.88	51.48
25	6	72.33	56.86
26	1	51.92	47.04
26	2	53.02	47.09
26	3	63.17	48.56
26	4	66.04	51.49
26	5	72.33	53.17
26	6	66.12	54.88
27	1	55.83	52.11
27	2	49.35	47.9
27	3	62.9	46.62
27	4	61.54	60.14
27	5	60.22	47.05
27	6	56.01	58.13
28	1	50.0	52.5
28	2	60.11	54.94
28	3	54.05	53.73
28	4	57.65	46.43
28	5	65.4	51.62
28	6	54.21	57.61
29	1	61.63	44.13
29	2	55.34	49.37
29	3	66.99	53.96
29	4	52.16	56.44
29	5	61.26	38.75
29	6	62.58	37.35
30	1	53.26	46.36
30	2	55.37	47.83
30	3	69.4	49.74
30	4	68.77	57.79
30	5	56.69	58.41
30	6	69.87	44.31
31	1	57.29	49.85
31	2	59.31	54.49
31	3	62.6	49.37
31	4	65.94	42.51
31	5	59.15	45.86
31	6	57.39	54.17
32	1	72.18	37.79
32	2	57.48	50.46
32	3	66.97	46.45
32	4	56.58	55.61
32	5	52.13	63.25
32	6	72.95	44.52
33	1	62.62	50.88
33	2	65.65	52.64
33	3	61.98	56.97
33	4	74.99	57.76
33	5	67.79	49.12
33	6	57.99	52.62
34	1	57.77	49.08
34	2	57.52	52.63
34	3	59.2	49.49
34	4	71.95	39.06
34	5	62.09	52.9
34	6	56.74	45.72
35	1	60.07	39.89
35	2	66.85	56.22
35	3	73.01	42.2
35	4	72.2	50.34
35	5	64.06	60.18
35	6	65.33	57.05
36	1	57.07	39.6
36	2	57.29	46.93
36	3	53.09	40.02
36	4	61.14	51.72
36	5	64.96	36.87
36	6	52.64	45.92
37	1	50.95	40.32
37	2	69.05	52.09
37	3	61.85	51.05
37	4	72.57	42.44
37	5	58.73	45.05
37	6	63.59	47.09
38	1	38.34	47.28
38	2	73.0	57.88
38	3	76.12	46.96
38	4	67.13	48.44
38	5	54.92	46.97
38	6	50.26	48.28
39	1	53.65	47.72
39	2	72.91	57.83
39	3	65.91	49.62
39	4	61.9	50.89
39	5	55.82	46.52
39	6	71.89	58.52
40	1	64.13	50.03
40	2	65.55	52.16
40	3	66.42	41.56
40	4	62.45	40.92
40	5	68.42	46.0
40	6	61.1	49.01
41	1	56.91	39.75
41	2	65.81	56.31
41	3	58.69	56.82
41	4	60.02	45.31
41	5	66.58	41.17
41	6	58.54	46.14
42	1	55.23	46.93
42	2	62.01	48.24
42	3	52.49	47.59
42	4	65.59	49.37
42	5	64.61	53.56
42	6	65.98	54.85
43	1	58.1	39.33
43	2	58.88	49.22
43	3	51.4	50.69
43	4	57.25	42.95
43	5	55.81	48.4
43	6	74.22	53.73
44	1	63.92	52.86
44	2	65.07	45.14
44	3	61.28	54.6
44	4	69.25	55.02
44	5	71.78	45.58
44	6	56.46	43.86
45	1	50.62	51.08
45	2	64.57	47.21
45	3	72.34	56.48
45	4	64.7	47.25
45	5	52.43	51.08
45	6	72.97	53.16
46	1	56.71	40.23
46	2	61.86	44.98
46	3	71.87	49.21
46	4	72.84	59.3
46	5	63.51	54.95
46	6	61.52	58.46
47	1	62.22	40.72
47	2	60.39	53.67
47	3	66.61	56.93
47	4	56.1	42.23
47	5	66.13	39.62
